,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,XOM,Exxon Mobil Corporation,441.50B,1.39%,6542798,344.58B
1,CVX,Chevron Corporation,288.90B,0.33%,3363138,200.95B
2,SHEL,Shell plc,212.03B,0.23%,2123602,323.18B
3,TTE,TotalEnergies SE,159.80B,0.49%,1074948,218.95B
4,COP,Conoco Phillips,141.22B,-0.09%,2002133,58.57B
5,BP,BP p.l.c.,106.19B,0.59%,2621536,213.03B
6,PBR,Petróleo Brasileiro S.A. - Petrobras,94.95B,-1.10%,14879898,124.47B
7,PBR.A,Petróleo Brasileiro S.A. - Petrobras,94.95B,-1.32%,3209225,124.47B
8,CNQ,Canadian Natural Resources Limited,77.74B,0.54%,563271,27.04B
9,EQNR,Equinor ASA,76.99B,1.20%,1719114,150.81B
10,SLB,Schlumberger Limited,75.73B,1.39%,2076628,33.14B
11,ENB,Enbridge Inc.,75.50B,-0.20%,1260520,32.82B
12,EOG,"EOG Resources, Inc.",71.22B,0.35%,808227,24.19B
13,MPC,Marathon Petroleum Corporation,69.85B,0.11%,795707,150.31B
14,PSX,Phillips 66,68.04B,-0.87%,1150322,149.89B
15,EPD,Enterprise Products Partners L.P.,62.10B,0.16%,1750050,49.72B
16,PXD,Pioneer Natural Resources Company,58.40B,1.60%,543111,19.36B
17,OXY,Occidental Petroleum Corporation,55.10B,0.90%,2929526,28.92B
18,VLO,Valero Energy Corporation,54.43B,1.95%,1988740,144.77B
19,ET,Energy Transfer LP,51.66B,0.62%,5519760,78.59B
20,E,Eni S.p.A.,50.81B,-1.13%,113082,142.22B
21,SU,Suncor Energy Inc.,46.46B,0.12%,1051041,38.15B
22,HES,Hess Corporation,46.34B,0.26%,1419103,10.65B
23,WMB,"The Williams Companies, Inc.",45.02B,0.30%,1568894,10.91B
24,OKE,"ONEOK, Inc.",44.90B,0.84%,648923,17.68B
25,TRP,TC Energy Corporation,41.75B,-,732692,11.98B
26,MPLX,MPLX LP,40.73B,-,828369,11.28B
27,KMI,"Kinder Morgan, Inc.",39.06B,0.06%,3569944,15.33B
28,LNG,"Cheniere Energy, Inc.",37.85B,0.09%,672445,20.39B
29,WDS,Woodside Energy Group Ltd,37.30B,-0.98%,387977,13.99B
30,IMO,Imperial Oil Limited,36.16B,0.19%,140409,38.32B
31,CVE,Cenovus Energy Inc.,34.74B,1.48%,5317145,39.25B
32,FANG,"Diamondback Energy, Inc.",33.89B,0.04%,446109,8.41B
33,HAL,Halliburton Company,33.58B,0.58%,2466631,23.02B
34,BKR,Baker Hughes Company,32.57B,0.34%,1341763,25.51B
35,DVN,Devon Energy Corporation,30.24B,0.35%,2576062,15.26B
36,TRGP,Targa Resources Corp.,23.65B,1.04%,406593,16.06B
37,CQP,"Cheniere Energy Partners, L.P.",23.49B,-0.23%,41218,11.70B
