,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,GE,General Electric Company,184.64B,0.60%,4960266,67.95B
1,CAT,Caterpillar Inc.,173.27B,1.42%,1831346,67.06B
2,UNP,Union Pacific Corporation,148.87B,0.09%,2169035,24.12B
3,UPS,"United Parcel Service, Inc.",130.77B,-1.10%,4626521,90.96B
4,HON,Honeywell International Inc.,128.93B,-0.47%,2189633,36.66B
5,RTX,RTX Corp,123.32B,0.57%,5022790,68.92B
6,ETN,Eaton Corporation plc,119.01B,0.29%,1557061,23.20B
7,BA,The Boeing Company,111.37B,-1.47%,9156191,77.79B
8,DE,Deere & Company,106.72B,0.50%,864210,60.79B
9,LMT,Lockheed Martin Corporation,105.31B,-0.60%,960724,67.57B
10,ADP,"Automatic Data Processing, Inc.",99.45B,-0.10%,2001817,18.59B
11,WM,"Waste Management, Inc.",84.55B,0.54%,864128,20.43B
12,CP,Canadian Pacific Railway Limited,83.65B,0.21%,1270973,9.44B
13,CNI,Canadian National Railway Company,82.60B,1.14%,1301498,12.65B
14,ITW,Illinois Tool Works Inc.,79.76B,-0.77%,969039,16.11B
15,GD,General Dynamics Corporation,75.40B,0.87%,636156,42.27B
16,CSX,CSX Corporation,72.43B,0.92%,9259589,14.66B
17,TRI,Thomson Reuters Corporation,71.06B,-0.38%,248055,6.79B
18,NOC,Northrop Grumman Corporation,69.28B,0.14%,401144,39.29B
19,PH,Parker-Hannifin Corporation,68.75B,0.16%,492855,19.83B
20,TT,Trane Technologies plc,66.17B,0.12%,484408,17.68B
21,TDG,TransDigm Group Incorporated,65.18B,0.75%,152507,6.98B
22,CTAS,Cintas Corporation,63.60B,-0.39%,355377,9.19B
23,FDX,FedEx Corporation,63.30B,-0.04%,1557663,87.95B
24,EMR,Emerson Electric Co.,63.22B,0.42%,2423555,15.91B
25,PCAR,PACCAR Inc,61.99B,1.70%,2992938,35.13B
26,RSG,"Republic Services, Inc.",58.62B,0.68%,760834,14.96B
27,ROP,"Roper Technologies, Inc.",58.58B,-0.22%,372615,6.18B
28,MMM,3M Company,58.03B,-0.19%,5534585,32.68B
29,NSC,Norfolk Southern Corporation,57.79B,0.15%,736568,12.16B
30,CARR,Carrier Global Corporation,51.29B,0.09%,2134744,22.10B
31,GWW,"W.W. Grainger, Inc.",48.86B,0.01%,140168,16.48B
32,ODFL,"Old Dominion Freight Line, Inc.",45.83B,-0.56%,528502,5.87B
33,URI,"United Rentals, Inc.",45.39B,1.19%,356664,14.33B
34,WCN,"Waste Connections, Inc.",44.05B,0.47%,553620,8.02B
35,PAYX,"Paychex, Inc.",43.28B,0.22%,1213029,5.15B
36,JCI,Johnson Controls International plc,43.06B,-0.05%,5029597,26.82B
37,FAST,Fastenal Company,42.95B,0.89%,3339114,7.35B
38,FERG,Ferguson plc,42.07B,-0.37%,946739,29.36B
39,AME,"AMETEK, Inc.",41.97B,0.31%,699814,6.60B
40,LHX,"L3Harris Technologies, Inc.",40.46B,-0.91%,1438371,19.42B
41,OTIS,Otis Worldwide Corporation,40.05B,-0.47%,1434309,14.21B
42,CMI,Cummins Inc.,38.99B,4.10%,4553183,34.07B
43,IR,Ingersoll Rand Inc.,36.50B,0.82%,1054246,6.88B
44,PWR,"Quanta Services, Inc.",35.38B,0.44%,527568,20.88B
45,VRSK,"Verisk Analytics, Inc.",33.63B,0.52%,1010103,2.68B
46,GPN,Global Payments Inc.,33.13B,0.52%,1996995,9.65B
47,RYAAY,Ryanair Holdings plc,32.43B,1.30%,386422,11.71B
48,ROK,"Rockwell Automation, Inc.",32.19B,-0.96%,567005,9.13B
49,EFX,Equifax Inc.,31.35B,0.84%,532162,5.27B
50,XYL,Xylem Inc.,30.77B,0.17%,717089,7.36B
51,VRT,Vertiv Holdings Co,28.33B,4.05%,12417208,6.86B
52,DAL,"Delta Air Lines, Inc.",27.74B,0.74%,6291611,58.05B
53,HWM,Howmet Aerospace Inc.,27.18B,0.75%,1985903,6.64B
54,WAB,Westinghouse Air Brake Technologies Corporation,24.75B,1.24%,780655,9.68B
55,DOV,Dover Corporation,24.56B,-0.63%,802651,8.44B
56,BLDR,"Builders FirstSource, Inc.",23.84B,-0.10%,806901,17.10B
57,AXON,"Axon Enterprise, Inc.",23.28B,0.26%,338734,1.56B
58,HEI.A,HEICO Corporation,23.10B,0.45%,89729,3.24B
59,HEI,HEICO Corporation,22.82B,0.44%,251670,3.24B
60,HUBB,Hubbell Incorporated,21.62B,1.13%,299759,5.37B
61,JBHT,"J.B. Hunt Transport Services, Inc.",20.03B,-1.40%,723714,12.83B
62,VLTO,Veralto Corporation,18.96B,0.61%,2282063,5.02B
63,BAH,Booz Allen Hamilton Holding Corporation,18.79B,-0.21%,385370,10.32B
64,J,Jacobs Engineering Group Inc.,18.72B,-0.70%,390222,16.71B
65,IEX,IDEX Corporation,18.15B,0.25%,282646,3.27B
66,TXT,Textron Inc.,17.87B,0.23%,998031,13.68B
67,CSL,Carlisle Companies Incorporated,17.74B,-1.17%,367539,4.59B
68,ZTO,ZTO Express (Cayman) Inc.,17.61B,-0.64%,4628884,5.18B
69,AER,AerCap Holdings N.V.,17.38B,0.50%,1581620,7.58B
70,AVY,Avery Dennison Corporation,17.37B,-0.56%,328361,8.36B
71,EXPD,"Expeditors International of Washington, Inc.",17.25B,-2.19%,1298003,9.30B
