,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,PLD,"Prologis, Inc.",119.33B,-0.68%,2272828,8.02B
1,AMT,American Tower Corporation,92.03B,-0.72%,1833397,11.14B
2,EQIX,"Equinix, Inc.",80.47B,1.21%,462310,8.19B
3,SPG,"Simon Property Group, Inc.",56.51B,0.78%,1132785,5.66B
4,WELL,Welltower Inc.,51.97B,1.04%,2070533,6.64B
5,PSA,Public Storage,48.81B,0.19%,344101,4.52B
6,CCI,Crown Castle Inc.,45.93B,-1.34%,3477856,6.98B
7,O,Realty Income Corporation,44.94B,0.04%,4354805,4.08B
8,DLR,"Digital Realty Trust, Inc.",44.90B,0.96%,1146146,5.48B
9,CSGP,"CoStar Group, Inc.",38.87B,1.02%,5415234,2.46B
10,EXR,Extra Space Storage Inc.,30.48B,-0.90%,937987,2.56B
11,VICI,VICI Properties Inc.,30.18B,0.03%,3982321,3.61B
12,CBRE,"CBRE Group, Inc.",28.61B,-0.17%,1121395,31.95B
13,AVB,"AvalonBay Communities, Inc.",26.11B,-0.69%,839567,2.77B
14,WY,Weyerhaeuser Company,25.04B,-0.52%,3361610,7.67B
15,EQR,Equity Residential,23.92B,-1.03%,1685420,2.87B
16,SBAC,SBA Communications Corporation,23.30B,-1.03%,683455,2.71B
17,IRM,Iron Mountain Incorporated,22.98B,1.36%,1137498,5.48B
18,ARE,"Alexandria Real Estate Equities, Inc.",21.65B,-0.25%,706345,2.89B
19,KSPI,Joint Stock Company Kaspi.kz,21.62B,1.24%,225740,4.25B
20,INVH,Invitation Homes Inc.,21.19B,-0.97%,1552415,2.43B
21,BEKE,KE Holdings Inc.,17.50B,0.57%,7376852,10.97B
22,VTR,"Ventas, Inc.",17.10B,0.68%,2691953,4.50B
23,SUI,"Sun Communities, Inc.",17.00B,-0.45%,456394,3.22B
24,ESS,"Essex Property Trust, Inc.",15.89B,-0.61%,293903,1.67B
25,MAA,"Mid-America Apartment Communities, Inc.",15.64B,-0.42%,542661,2.15B
26,AMH,American Homes 4 Rent,15.09B,-1.19%,3117547,1.62B
27,HST,"Host Hotels & Resorts, Inc.",14.64B,0.68%,5391324,5.31B
28,UDR,"UDR, Inc.",13.22B,-0.97%,1752442,1.63B
29,ELS,"Equity LifeStyle Properties, Inc.",12.76B,-0.55%,830923,1.49B
30,KIM,Kimco Realty Corporation,12.70B,1.22%,2804086,1.78B
31,GLPI,"Gaming and Leisure Properties, Inc.",12.28B,-0.16%,1342735,1.44B
32,DOC,"Healthpeak Properties, Inc.",12.27B,0.46%,5213700,2.18B
33,WPC,W. P. Carey Inc.,12.16B,-1.02%,1382225,1.74B
34,LAMR,Lamar Advertising Company,11.85B,0.08%,289306,2.11B
35,REXR,"Rexford Industrial Realty, Inc.",11.37B,-0.60%,1112811,797.83M
36,REG,Regency Centers Corporation,10.97B,0.51%,628079,1.32B
37,CPT,Camden Property Trust,10.54B,-1.05%,982265,1.56B
38,BXP,"Boston Properties, Inc.",9.83B,0.37%,797229,3.27B
39,NLY,"Annaly Capital Management, Inc.",9.74B,-,2501432,-1.44B
40,CUBE,CubeSmart,9.68B,-0.02%,1431567,1.05B
41,JLL,Jones Lang LaSalle Incorporated,8.71B,-0.21%,252922,20.76B
42,EGP,"EastGroup Properties, Inc.",8.45B,-0.29%,247832,570.59M
